,city,state
3256,Deepwater ,NJ
3266,Deer River ,NY
3267,Deerbrook ,WI
3272,Deerfield ,OH
3273,Deerfield ,WI
3275,Deerfield Street ,NJ
3277,Defiance ,IN
3280,Deford ,MI
3284,Del Valle ,TX
3290,Delaplane ,VA
3297,Delhi ,IL
3304,Delmar ,NY
3305,Delmont ,NJ
3307,Delong ,IN
3320,Demotte ,IN
3324,Denmark ,TN
3330,Dennisville ,NJ
3344,Depue ,IL
3347,Derby ,NY
3348,Derrick City ,PA
3350,Derry ,PA
3366,Dewar ,IA
3368,Dewey ,IL
3379,Diamond ,OH
3381,Diamond Point ,NY
3384,Diberville ,MS
3386,Dickerson ,MD
3387,Dickerson Run ,PA
3393,Diggs ,VA
3401,Dilltown ,PA
3404,Dingle ,ID
3405,Dinwiddie ,VA
3407,Disputanta ,VA
3408,Distant ,PA
3410,Dittmer ,MO
3412,Divide ,MT
3413,Dividing Creek ,NJ
3420,Dixonville ,PA
3423,Doddridge ,AR
3431,Dolomite ,AL
3435,Donegal ,PA
3441,Dorchester ,MA
3443,Dorchester ,NJ
3444,Dorchester ,SC
3446,Dorchester Center ,MA
3447,Dornsife ,PA
3448,Dorothy ,NJ
3450,Dorsey ,IL
3451,Doswell ,VA
3473,Dow ,IL
3475,Dowell ,MD
3489,Drake ,KY
3493,Drayden ,MD
3494,Drennen ,WV
3498,Dresher ,PA
3500,Drifting ,PA
3506,Drummonds ,TN
3509,Dry Branch ,GA
3510,Dry Fork ,VA
3513,Dry Run ,PA
3514,Drybranch ,WV
3518,Du Bois ,PA
3527,Dublin ,PA
3534,Dudley ,NC
3539,Duke Center ,PA
3550,Dunbridge ,OH
3556,Duncanville ,AL
3581,Dunnegan ,MO
3602,Dutton ,VA
3612,Dyess AFB ,TX
3613,Dyke ,VA
3615,Dysart ,PA
3616,Eads ,TN
3622,Eagle ,WI
3625,Eagle Creek ,OR
3630,Eagle Rock ,VA
3634,Earleton ,FL
3635,Earleville ,MD
3639,Early Branch ,SC
3640,Earlysville ,VA
3643,East Amherst ,NY
3648,East Berlin ,CT
3650,East Berne ,NY
3652,East Bethany ,NY
3654,East Blue Hill ,ME
3655,East Boothbay ,ME
3663,East Chatham ,NY
3666,East Concord ,NY
3668,East Derry ,NH
3671,East Durham ,NY
3673,East Elmhurst ,NY
3674,East Fairfield ,VT
3678,East Freetown ,MA
3681,East Glastonbury ,CT
3688,East Hampstead ,NH
3693,East Hartland ,CT
3698,East Killingly ,CT
3701,East Leroy ,MI
