,city,state,county,Overall,Grocery,Health,Housing,Median Home Cost,Utilities,Transportation,Miscellaneous
2059,Cassville ,NY,,no data,no data,no data,no data,no data,no data,no data,no data
2071,Castle Creek ,NY,,no data,no data,no data,no data,no data,no data,no data,no data
2075,Castleton on Hudson ,NY,,no data,no data,no data,no data,no data,no data,no data,no data
2080,Cataula ,GA,,no data,no data,no data,no data,no data,no data,no data,no data
2081,Cataumet ,MA,,no data,no data,no data,no data,no data,no data,no data,no data
2084,Catharpin ,VA,,no data,no data,no data,no data,no data,no data,no data,no data
2099,Cavour ,SD,,no data,no data,no data,no data,no data,no data,no data,no data
2105,Cecil ,AL,,no data,no data,no data,no data,no data,no data,no data,no data
2106,Cecil ,AR,,no data,no data,no data,no data,no data,no data,no data,no data
2107,Cecil ,IN,,no data,no data,no data,no data,no data,no data,no data,no data
2113,Cedar ,MN,,no data,no data,no data,no data,no data,no data,no data,no data
2114,Cedar Brook ,NJ,,no data,no data,no data,no data,no data,no data,no data,no data
2116,Cedar Creek ,TX,,no data,no data,no data,no data,no data,no data,no data,no data
2118,Cedar Falls ,NC,,no data,no data,no data,no data,no data,no data,no data,no data
2120,Cedar Grove ,TN,,no data,no data,no data,no data,no data,no data,no data,no data
2125,Cedar Island ,NC,,no data,no data,no data,no data,no data,no data,no data,no data
2126,Cedar Knolls ,NJ,,no data,no data,no data,no data,no data,no data,no data,no data
2128,Cedar Lake ,MI,,no data,no data,no data,no data,no data,no data,no data,no data
2132,Cedar Valley ,UT,,no data,no data,no data,no data,no data,no data,no data,no data
2135,Cedars ,PA,,no data,no data,no data,no data,no data,no data,no data,no data
2141,Cedarville ,WV,,no data,no data,no data,no data,no data,no data,no data,no data
2142,Celestine ,IN,,no data,no data,no data,no data,no data,no data,no data,no data
2146,Center Barnstead ,NH,,no data,no data,no data,no data,no data,no data,no data,no data
2153,Center Point ,TX,,no data,no data,no data,no data,no data,no data,no data,no data
2154,Center Sandwich ,NH,,no data,no data,no data,no data,no data,no data,no data,no data
2155,Center Tuftonboro ,NH,,no data,no data,no data,no data,no data,no data,no data,no data
2156,Center Valley ,PA,,no data,no data,no data,no data,no data,no data,no data,no data
2157,Centerbrook ,CT,,no data,no data,no data,no data,no data,no data,no data,no data
