,city,state
10666,Raymond ,SD
10670,Raynham Center ,MA
10672,Rayville ,MO
10677,Reading ,MN
10680,Reagan ,TN
10684,Rector ,PA
10687,Red Creek ,NY
10690,Red House ,WV
10703,Redford ,MI
10720,Reelsville ,IN
10735,Remlap ,AL
10738,Remsenburg ,NY
10739,Remus ,MI
10740,Renfrew ,PA
10741,Renner ,SD
10743,Reno ,PA
10752,Rescue ,CA
10753,Rescue ,VA
10754,Reseda ,CA
10757,Reva ,VA
10762,Rex ,GA
10764,Rexford ,NY
10765,Rexmont ,PA
10774,Rhoadesville ,VA
10776,Rhodes ,MI
10779,Rib Lake ,WI
10781,Rice ,VA
10788,Richeyville ,PA
10793,Richfield ,WI
10794,Richfield Springs ,NY
10798,Richland ,NJ
10799,Richland ,PA
10819,Richville ,MI
10824,Ridge ,MD
10827,Ridgedale ,MO
10844,Ridgewood ,NY
10845,Ridgway ,PA
10858,Rineyville ,KY
10860,Ringgold ,PA
10861,Ringgold ,VA
10863,Ringoes ,NJ
10879,Rising Fawn ,GA
10892,Riverdale ,MD
10893,Riverdale ,MI
10906,Riverside ,RI
10911,Riverton ,WV
10914,Rives Junction ,MI
10916,Rixeyville ,VA
10917,Rixford ,PA
10925,Roaring Branch ,PA
10936,Robertsdale ,PA
10937,Robertsville ,MO
10943,Robinsonville ,MS
10946,Rochdale ,MA
10948,Rochelle ,VA
10961,Rochester Gates ,NY
10963,Rochester Mills ,PA
10965,Rock City Falls ,NY
10976,Rock Spring ,GA
10979,Rock Tavern ,NY
10983,Rockaway Park ,NY
10985,Rockfall ,CT
10986,Rockfield ,IN
10987,Rockfield ,KY
10994,Rockhill Furnace ,PA
10996,Rockland ,DE
11004,Rockport ,WV
11006,Rockton ,PA
11007,Rockvale ,TN
11010,Rockville ,RI
11011,Rockville ,VA
11019,Rocky Face ,GA
11022,Rocky Mount ,MO
11027,Rocky Ridge ,MD
11031,Rodney ,MI
11056,Rome ,IL
11062,Romney ,IN
11090,Rosedale ,NY
11091,Rosedale ,VA
11098,Rosemont ,NJ
11111,Roslindale ,MA
11123,Rossville ,PA
11128,Rotterdam Junction ,NY
11147,Roxbury ,MA
11148,Roxbury ,PA
11149,Roxbury Crossing ,MA
11152,Royal ,AR
11161,Rozet ,WY
11169,Ruffs Dale ,PA
11170,Rumford ,RI
11176,Rural Ridge ,PA
11179,Rush ,KY
11181,Rushland ,PA
11198,Russellville ,TN
11204,Ruth ,MI
11205,Ruther Glen ,VA
11212,Rutland ,SD
11215,Rydal ,GA
11219,Rye Beach ,NH
11225,Sabinsville ,PA
11235,Sadsburyville ,PA
11240,Sagamore ,PA
11241,Sagamore Beach ,MA
11244,Sagle ,ID
11245,Saint Albans ,ME
11246,Saint Albans ,MO
11247,Saint Albans ,NY
11248,Saint Albans ,VT
11249,Saint Albans ,WV
11250,Saint Albans Bay ,VT
11251,Saint Amant ,LA
11252,Saint Anne ,IL
11253,Saint Anthony ,IA
11254,Saint Anthony ,ID
11255,Saint Anthony ,IN
11256,Saint Augustine ,FL
11257,Saint Augustine ,IL
11258,Saint Benedict ,PA
11259,Saint Bonifacius ,MN
11260,Saint Charles ,IA
11261,Saint Charles ,IL
11262,Saint Charles ,MI
11263,Saint Charles ,MN
11264,Saint Charles ,MO
11265,Saint Clair ,MI
11266,Saint Clair ,MN
11267,Saint Clair ,MO
11268,Saint Clair Shores ,MI
11269,Saint Clairsville ,OH
11270,Saint Cloud ,FL
11271,Saint Cloud ,MN
11272,Saint Cloud ,WI
11273,Saint David ,IL
11274,Saint Francis ,MN
11275,Saint Francis ,SD
11276,Saint Francis ,WI
11277,Saint George ,KS
11278,Saint Georges ,DE
11279,Saint Hedwig ,TX
11280,Saint Helen ,MI
11281,Saint Helena Island ,SC
11282,Saint Henry ,OH
